,PGM_SYS_ID,2007_formalaction_SETTLEMENT_ENTERED_DATE_year,2008_formalaction_SETTLEMENT_ENTERED_DATE_year,2009_formalaction_SETTLEMENT_ENTERED_DATE_year,2010_formalaction_SETTLEMENT_ENTERED_DATE_year,2011_formalaction_SETTLEMENT_ENTERED_DATE_year,2012_formalaction_SETTLEMENT_ENTERED_DATE_year,2013_formalaction_SETTLEMENT_ENTERED_DATE_year,2014_formalaction_SETTLEMENT_ENTERED_DATE_year,2015_formalaction_SETTLEMENT_ENTERED_DATE_year,2016_formalaction_SETTLEMENT_ENTERED_DATE_year,2017_formalaction_SETTLEMENT_ENTERED_DATE_year
0,020000003400356439,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,020000003400356439,0.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,020000003401300027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0
3,020000003401756440,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,020000003402135764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,020000003402300479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,020000003402300480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,020000003402300482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,020000003402300499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,020000003402300507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,020000003402300508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,020000003402300516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,020000003402300521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,020000003402300530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,020000003402300532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,020000003402300534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,020000003402300539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,020000003402315794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,020000003403900366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,020000003604700968,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
