"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Washington Avenue Coalition - Memorial Park","Houston","TX","Houston","Harris",77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1554.5,1629,1517.5,1540,1540,1485,1495,1497.5,1520,1568,1507.5,1568,1568,1585,1584,1500,1500,1517.5,1554,1540,1650,1654,1700,1724,1845,1801,1658,1650,1828.5,1800,1806,1724,1602,1630,1658,1724,1554,1585,1540,1545,1613.5,1550,1630,1658
"Landmark-Van Dom","Alexandria","VA","Washington","Alexandria City",78,,,,,,,,,,,,1650,1650,1750,1670,1697.5,1642.5,1650,1712.5,1725,1700,1612.5,1600,1650,1650,1675,1650,1700,1850,1850,1850,1850,1650,1675,1697,1800,1785,1725,1650,1712.5,1785,1745,1680,1647,1750,1750,1750,1795,1750,1750,1750,1750,1775,1750,1750,1700,1775,1750,1750,1785,1700,1737.5,1797.5,1850,1850,1825,1850,1750,1750,1750,1825,1700,1700,1700,1800,1795,1800,1700,1850,1800,1850,1800,1800,1800,1750,1800
"Woodbridge","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",79,,,,,,,,,,,,,1975,1987.5,2100,2050,2100,2200,2200,2347.5,2397.5,2300,2275,2150,2272.5,2400,2395,2100,2370,2272.5,2300,2400,2300,2395,2200,2295,2295,2350,2250,2290,2262.5,2200,2000,2100,2300,2250,2400,2275,2400,2400,2387.5,2400,2300,2400,2412.5,2400,2400,2400,2425,2425,2400,2412.5,2412.5,2400,2400,2400,2400,2500,2475,2500,2400,2425,2500,2400,2350,2600,2550,2400,2300,2575,2400,2465,2400,2400,2500,2450
"West Town","Chicago","IL","Chicago","Cook",80,,,,,,,,,,,,,,,,,,,2100,2175,2100,2000,2025,2072.5,2100,2000,1900,2100,2275,2000,2000,2200,2200,2200,2200,2200,2200,2150,2200,2325,2300,1925,2000,2250,2300,2200,2200,2112.5,2150,2100,2300,2450,2387.5,2350,2475,2500,2400,2350,2400,2600,2700,2425,2250,2500,2500,2375,2200,2300,2325,2362.5,2362.5,2425,2500,2450,2400,2425,2400,2400,2450,2300,2300,2300,2300,2350,2575,2275
"Allston","Boston","MA","Boston","Suffolk",81,,,,,,,,,,,,,,,,,,,,,,,,,2200,2200,2150,2100,2000,2000,1900,1950,1795,1662.5,1950,2200,2250,2250,2250,2300,2300,2300,2300,2250,2350,2400,2400,2400,2400,2400,2400,2450,2400,2350,2300,2300,2300,2295,2350,2500,2599,2425,2400,2300,2300,2300,2250,2300,2300,2400,2450,2500,2600,2450,2400,2400,2400,2299.5,2372.5,2400,2400,2450,2400,2450,2500,2450
"Clinton Hill","New York","NY","New York","Kings",82,,,,,,,,,,,,,,,,,,,,,,2600,2450,2450,2585,2400,2300,2350,2400,2445,2597.5,2525,2567.5,2500,2300,2467.5,2500,2750,2750,2850,2900,2850,2775,2800,3000,3000,2997.5,3000,3000,3000,2874.5,2800,2974.5,2900,3000,3000,3000,2997.5,2900,3000,3050,3000,3100,3000,3000,3000,3000,3000,3000,3000,3300,3250,3100,3350,3150,3200,3000,3100,3100,3000,2705,2680,3000,3000,3150,3100
"Flamingo Lummus","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",83,,,,,,,,,1990,2000,2075,1775,1650,1600,1650,1750,1650,1600,1600,1600,1700,1800,1700,1700,1800,1800,1800,1800,1800,1800,1700,1750,1750,1795,1850,1900,1850,1950,1950,1900,1900,1850,1800,1800,1850,1900,1900,1900,1975,1950,1900,1950,1975,1997,1950,1900,1900,1950,1950,1995,2000,2000,2000,2000,2000,2000,1900,1950,1950,2000,2100,2100,2200,2150,2000,1982.5,1950,1950,1900,1800,1800,1900,1800,1790,1800,1850
"West Village","New York","NY","New York","New York",84,,,,,,,,,,,,3300,3200,3350,3500,3600,3500,3500,3322.5,3375,3297.5,3000,3000,3070,3100,3095,3295,3450,3450,3572.5,3595,3700,3660,3699.5,3525,3500,3550,3500,3495,3595,3500,3595,3500,3550,3700,3700,3650,3700,3700,3725,3800,3800,3995,3700,3700,3750,3800,3795,3700,3800,3750,3700,3700,3800,3800,3895,3850,3950,3995,3800,3800,3750,3750,3800,3750,3750,3700,3700,3800,3700,3725,3750,3700,3700,3772.5,3795
"Brickell","Miami","FL","Miami-Fort Lauderdale","Miami-Dade",85,2100,2000,2000,2000,2100,2000,2300,2200,2100,2100,2200,2100,1950,2000,2000,2000,2100,2100,2100,2150,2200,2200,2200,2200,2199,2200,2175,2150,2200,2262.5,2250,2250,2300,2295,2300,2300,2350,2350,2300,2300,2300,2300,2350,2400,2400,2400,2375,2392.5,2350,2350,2350,2400,2400,2400,2399,2400,2400,2400,2450,2425,2500,2500,2500,2500,2500,2500,2600,2550,2500,2500,2550,2550,2500,2500,2500,2450,2500,2495,2475,2550,2450,2500,2400,2450,2400,2432.5
"Point Breeze","Philadelphia","PA","Philadelphia","Philadelphia",86,,,,,,,,,,,,,,,,,,,1275,1250,1197.5,1100,1200,1200,1100,1195,1195,1175,1137.5,1000,1000,1000,1000,1100,1172.5,1100,1197.5,1225,1250,1225,1200,1200,1200,1200,1200,1225,1225,1100,1100,1100,1135,1185,1200,1200,1200,1100,1100,1097.5,1150,1175,1200,1200,1295,1297.5,1350,1350,1350,1200,1200,1100,1100,1195,1300,1250,1300,1300,1400,1275,1200,1250,1295,1375,1250,1350,1300,1342.5
