"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03"
"Las Tierras","El Paso","TX","El Paso","El Paso",115,,,,,,,,,,,,,,,,,,,,,,,,,,1287.5,1262.5,1195,1250,1250,1195,1175,1100,1150,1100,1100,1100,1100,1100,1100,1195,1200,1195,1200,1150,1100,1195,1100,1100,1100,1100,1175,1175,1175,1185,1150,1100,1095,1100,1112.5,1150,1150,1100,1100,1150,1185,1150,1100,1100,1100,1100,1100,1100,1100,1100,1075,1149,1100,1100,1085,1025,1100,1100,1095,1100,1100
"Green Valley South","Henderson","NV","Las Vegas","Clark",116,,,,,,,,,,,,,,,,,,,,,,,,1450,1400,1375,1350,1337.5,1350,1300,1299.5,1295,1300,1350,1395,1412.5,1350,1250,1250,1295,1272.5,1362.5,1350,1350,1297.5,1395,1450,1399.5,1362.5,1375,1350,1350,1300,1350,1395,1395,1400,1385,1400,1400,1450,1495,1500,1500,1495,1587.5,1600,1525,1400,1400,1495,1572.5,1495,1550,1425,1450,1545,1375,1495,1362.5,1395,1375,1495,1295,1480,1550
"Anthem","Henderson","NV","Las Vegas","Clark",117,,,,,,,,,,,,1395,1400,1337.5,1350,1437.5,1475,1425,1450,1429.5,1397.5,1400,1500,1500,1495,1495,1500,1422.5,1450,1562.5,1562.5,1550,1595,1500,1495,1595,1595,1575,1512.5,1495,1492.5,1500,1492.5,1475,1550,1475,1397.5,1395,1450,1425,1450,1495,1574.5,1724.5,1600,1525,1600,1700,1700,1750,1737,1700,1800,1850,1750,1650,1700,1750,1795,1700,1697,1695,1757.5,1695,1695,1672.5,1795,1695,1725,1750,1650,1572.5,1710,1625,1800,1895
"Northwood","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange",118,,,,,,,,,,,,,,,,,,,,,,,,,2700,2975,2950,2800,2800,2700,2700,2597.5,2525,2450,2680,2900,2700,2772.5,2850,2950,2850,2850,2895,2800,2750,2750,2695,2750,2825,2850,2890,2825,2900,3025,3050,2900,3100,3200,3250,2900,3050,3075,3100,3200,3050,3050,3125,3100,3200,3000,2975,2950,3000,3050,2995,3175,3050,2950,2900,2900,3100,3000,3000,3000,3325,3350
"Back Bay","Boston","MA","Boston","Suffolk",119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3200,3250,3700,3775,3812.5,3975,3950,3950,3950,3700,3600,3850,3905,3500,3500,3850,3999,3905,3974.5,3880,3999,3860
"Near North","Chicago","IL","Chicago","Cook",120,,,,,,,,,,,,,,1575,1595,1650,1680,1782.5,1722.5,1720.5,1700,1699,1700,1750,1751,1770,1770,1895,1827,1852.5,1842.5,1713.5,1680,1650,1750,1760,1830,1804.5,1892.5,1908,2045,1763,1752,1756,1752,1752,1748,1744,1725,1746,1746,1744,1744,1748,1752,1750,1748,1748,1746,1752,1752,1746,1702.5,1748,1724,1722,1720,1722,1724,1734,1744,1750,1752,1746,1724,1722,1724,1722,1734,1720,1734,1734,1744,1739.5,1720,1720
"Meadow Woods","Orlando","FL","Orlando","Orange",121,,,,,,,,,,,,,,1100,1135,1135,1200,1200,1200,1200,1200,1200,1250,1225,1250,1295,1275,1250,1250,1295,1237.5,1325,1300,1300,1300,1250,1250,1300,1350,1375,1375,1385,1300,1350,1395,1395,1375,1350,1350,1350,1350,1400,1400,1400,1395,1350,1395,1395,1400,1400,1400,1417.5,1400,1375,1450,1450,1425,1462.5,1462.5,1492.5,1425,1462.5,1500,1450,1437.5,1475,1462.5,1400,1400,1495,1425,1462.5,1449,1550,1595,1550
"Meyerland Area","Houston","TX","Houston","Harris",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.5,2295,2287.5,2350,2437.5,2450,2100,2000,2000,2050,2125,2250,2100,2100,2075,2175,2175,2200,1990,1997.5,2000,1875,2000,2200,2200
"Columbus Circle","New York","NY","New York","New York",123,,,,,,,,,,,,,,,,,,,,,,3795,3622.5,3595,3238,3175,3138,3150,3100,3150,3200,3390,3600,3774,3600,3366,3450,3396,3422.5,3460,3495,3379,3379,3379,3379,3293.5,3285,3302,3379,3302,3293.5,3389.5,3379,3379,3374.5,3379,3379,3379,3389.5,3389.5,3379,3379,3374.5,3374.5,3379,3379,3379,3379,3374.5,3374.5,3379,3374.5,3370,3370,3379,3374.5,3379,3379,3379,3379,3379,3389.5,3379,3379,3379,3379
"Tule Springs","Las Vegas","NV","Las Vegas","Clark",124,,,,,,,,,,,,,,,,,1450,1390,1295,1295,1345,1250,1295,1250,1195,1250,1250,1250,1250,1295,1295,1300,1297.5,1272.5,1250,1250,1250,1250,1250,1200,1200,1300,1300,1340,1320,1300,1345,1295,1295,1295,1250,1295,1300,1350,1350,1347.5,1347.5,1350,1350,1300,1325,1350,1350,1299,1395,1395,1375,1400,1395,1350,1399,1400,1325,1350,1272.5,1400,1372.5,1385,1325,1295,1350,1385,1272.5,1497,1475,1450
"Streeterville","Chicago","IL","Chicago","Cook",125,,,,,,,,,,,,,,1700,1666.5,1674,1750,1850,1815,1845.5,1879,1940.5,1900,1940.5,1900,1945,2185,2175,1947.5,1904,1902,1850,1698,1745,1805,1911.5,1873,1850,1950,1977.5,2027,1982.5,1982.5,2028,1980,1982.5,1965,1961,1957,1957,1953.5,1972.5,1957,1972.5,1972.5,1965,1980,1982.5,1980,1965,1980,1980,1980,1961,1957,1953.5,1957,1982.5,1982.5,1985,1980,2006,1985,1980,1980,1980,1980,1965,1957,1980,1965,1972.5,1980,1961,1965,1961
"South Reno","Reno","NV","Reno","Washoe",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1590,1450,1500,1597.5,1572.5,1600,1550,1537.5,1500,1550,1485,1572.5,1600,1575,1550,1685,1622.5,1525,1500,1500,1500,1547.5,1550,1550,1550,1650,1599.5,1600,1600,1600,1650,1725,1747.5,1600,1650,1695,1695,1650,1700,1750,1685,1737.5,1750,1750,1750,1812.5,1797.5,1800,1777.5,1800,1895,1750,1762.5,1700,1750,1775,1850,1995
"Warrendale","Detroit","MI","Detroit","Wayne",127,,,,,,,,,,,,,,,,,,,,,650,650,650,650,675,650,675,675,650,650,650,650,650,675,700,695,700,700,700,700,700,700,700,700,700,700,700,725,700,700,700,750,750,740,700,725,700,700,725,725,725,750,750,750,750,750,750,750,750,737.5,712.5,700,725,750,750,750,700,735,725,712.5,700,725,712.5,742.5,750,750
"Midtown","New York","NY","New York","New York",128,,,,,,,,,,,,,,,,,,,,,3882.5,3750,3803,4000,3650,3595,3550,3300,3497.5,3500,3579,3600,3600,3662.5,3600,3605,3578,3600,3668,3597.5,3600,3597.5,3510,3557,3495,3495,3495,3519.5,3500,3557,3580,3544,3497.5,3495,3495,3495,3495,3519.5,3495,3519.5,3500,3544,3544,3557,3544,3544,3495,3495,3495,3495,3495,3495,3495,3495,3519.5,3495,3495,3544,3495,3544,3544,3519.5,3519.5,3544,3544,3557
"Vance Jackson","San Antonio","TX","San Antonio","Bexar",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.5,799,799,817,812.5,800,819,822.5,825,825,817,815,817,815,825,850,819,815,812.5,819,812.5,820,819.5,817,800,815,825,822.5,820,819,799.5,800,805,805,805,812.5,819,822.5,812.5,810,805,815,805,800,799.5,799,812.5,800,825,825,820
"East Arlington","Jacksonville","FL","Jacksonville","Duval",130,,,,,,,,,,,,,,,,1300,1295,1295,1295,1250,1250,1195,1200,1200,1250,1297.5,1300,1300,1337.5,1350,1300,1300,1300,1300,1300,1275,1300,1300,1300,1350,1400,1400,1392.5,1450,1397.5,1495,1450,1450,1395,1397.5,1395,1450,1450,1485,1445,1445,1425,1425,1397.5,1395,1400,1395,1412.5,1450,1450,1462.5,1450,1420,1415,1396,1425,1450,1495,1490,1495,1560,1425,1475,1390,1450,1496,1495,1450,1500,1525,1590
"Hollywood Lakes","Hollywood","FL","Miami-Fort Lauderdale","Broward",131,,,,,,,,,,,,,,1999,2150,2200,2200,2100,2150,2200,2200,2275,2250,2250,2100,2225,2170,2000,2000,2000,2000,2100,2270,2200,2200,2250,2275,2300,2300,2300,2400,2400,2350,2300,2350,2350,2400,2400,2400,2400,2400,2400,2400,2425,2400,2400,2400,2400,2500,2475,2600,2500,2400,2395,2392.5,2300,2450,2472.5,2600,2600,2475,2500,2525,2675,2750,2550,2600,2400,2400,2425,2500,2400,2400,2437.5,2500,2500
"Kenmore","Boston","MA","Boston","Suffolk",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3585.5,3025,3232,3140,3325,3300,3300,3194,3025,3000,2966,3229,3280.5,3196,3200,3038,3204,3135,3078,3019,3000,3000,3192,3058,3058,3231,3192,3204,3078,3078,3000,2839,3038,3019,3204,3058,3038,3192,3204,3192,3231,3223.5,3058,3078,2927,3135,3058,2927,3200,3135,3135,3204,3135,3192,3192,3078,2794
"Gold Coast","Chicago","IL","Chicago","Cook",133,,,,,,,,,,,,,,,,,,,,,,,,,1657.5,1729,1600,1557.5,1645,1645,1845,1876,1665,1643,1636.5,1700,1694,1634,1649,1631.5,1647.5,1625,1625,1625,1625,1625,1625,1625,1625,1625,1626,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1626,1626,1626,1627,1625,1625,1625,1625,1625,1625,1625,1625,1625,1626,1625,1625
"Belair-Edison","Baltimore","MD","Baltimore","Baltimore City",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1250,1300,1300,1300,1350,1300,1250,1200,1250,1250,1300,1250,1275,1200,1250,1300,1300,1300,1275,1300,1251,1250,1300,1251,1300,1300,1300,1225,1200,1200,1275,1280,1300,1300,1250,1250,1250,1275
"Green Valley Ranch","Henderson","NV","Las Vegas","Clark",135,,,,,,,,,,,,,,,,,,,,,,,,1495,1395,1425,1600,1600,1550,1497.5,1475,1600,1685,1695,1500,1500,1475,1500,1600,1612.5,1537.5,1775,1625,1600,1550,1500,1525,1562.5,1650,1600,1600,1595,1600,1585,1599,1600,1625,1625,1600,1600,1625,1695,1697.5,1697.5,1625,1695,1695,1695,1645,1635,1650,1690,1600,1745,1750,1625,1750,1650,1737.5,1595,1667.5,1600,1725,1570,1500,1650
"Tudor City","New York","NY","New York","New York",136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608,3616,3608,3500,3472.5,3450,3450,3472.5,3554,3345,3554,3608,3554,3554,3554,3554,3554,3608,3608,3608,3608,3608,3616,3616,3616,3616,3608,3608,3616,3616,3604,3604,3600,3604,3600,3616,3616,3604,3608,3600,3608,3604,3554
"Battery Park","New York","NY","New York","New York",137,,,,,,,,,,,,,,,,,,,,,,4150,4295,3995,3600,3512.5,3482.5,4000,4195,4700,4737.5,5000,4700,4650,4250,4395,4550,4775,4695,4480,4595,4445,4295,4225,4067.5,4200,4412.5,4412.5,4412.5,4250,4412.5,4412.5,4412.5,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250
"Pleasant Valley","Austin","TX","Austin","Travis",138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,595,595,595,595,595,595,595,592.5,592.5,590,589.5,595,595,595,592.5,592.5,592.5,592.5,595,592.5,592.5,595,595,595,595,590,592.5,590,590,590,590,589.5,595,589.5,589.5,589.5,590,595,589.5,595,595,595
"North Gateway","Phoenix","AZ","Phoenix","Maricopa",139,,,,,,,,,,,,,,,1600,1600,1625,1595,1550,1550,1650,1695,1590,1572.5,1500,1500,1525,1600,1599.5,1595,1550,1400,1495,1495,1500,1600,1650,1650,1597.5,1550,1562.5,1500,1450,1397.5,1412.5,1475,1495,1500,1500,1537.5,1600,1650,1747.5,1725,1695,1597.5,1600,1615,1650,1695,1695,1722.5,1797.5,1697.5,1675,1695,1650,1595,1525,1600,1650,1600,1625,1575,1650,1587.5,1550,1650,1725,1800,1650,1712.5,1622.5,1750,1875,1750
"Buckroe","Hampton","VA","Virginia Beach","Hampton City",140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,1017.5,1085,1037.5,995,975,985,962.5,1095,997.5,995,1025,1100,1050,952.5,950,950,995,995,1000,1100,1050,995,1095,1200,1000,950,1075,995,1050,1086
